format,scheduled_date,primary_keyword,drafted_at,title,error,pillar,persona,notes,dale_chall,secondary_keywords,draft_folder,status,published_at
educational,2026-05-18,freelance income proof,,Your 1099 Income Isn't 'Unstable' — Here's How to Prove It,,Pillar 1: Financial Education for Non-Traditional Paths,Maya,PRE-LAUNCH. CTA = waitlist. Lead with documentation strategies; cash-flow analytics as a *category* (don't name a vendor).,,1099 loan approval|freelancer credit|prove freelance income to lender,,published,2026-05-11T17:06:41Z
educational,2026-05-25,what credit score measures,,What Your Credit Score Actually Measures (And What It Misses),,Pillar 2: Demystifying Finance,All,PRE-LAUNCH. CTA = newsletter. Authority post — establish what FICO doesn't see (income,,FICO components|what FICO misses|alternative credit data,,published,2026-05-18T14:45:42Z
industry,2026-05-25,gender bias in financial systems,,"Designed to Be Fair, Built to Discriminate: What Dating Apps Teach Us About Financial Systems",,Pillar 5: Industry Trends & Advocacy | Pillar 2: Demystifying Finance,All,"Urgency: publish within 5 days of 2026-05-24. Anchor to arXiv paper https://arxiv.org/abs/2605.22587v1 on dating-platform gender gaps as structural (not behavioral) phenomenon. Core thesis: systems marketed as objective encode architectural bias — mirrors credit scoring, underwriting, mortgage decisioning. CTA = waitlist signup + invite readers to share their own 'the algorithm said no' moments. Potential seed post for standing series 'The Algorithm Said No.'",,algorithmic bias|credit scoring|loan underwriting|structural inequality|neutral systems myth|income verification|meritocracy,,published,2026-05-24T20:52:24Z
industry,2026-06-03,AI invisible work women,,AI Is Expanding the Workday. Guess Who Absorbs the Overflow?,,Pillar 6: Building Differently,Maya,Urgency: publish within 7 days of 2026-05-24. Cite two papers: invisible work https://arxiv.org/abs/2605.22707v1 and developer well-being https://arxiv.org/abs/2605.22349v1. Angle: AI productivity gains flow to employers; burden lands disproportionately on women who already carry invisible labor at work and home. Frame as Building Differently accountability story — employers need equity frameworks for AI deployment. Maya persona suits professional navigating workplace structural pressures. CTA = ask readers to share how AI has changed their workload. Could anchor quarterly employer accountability report thread.,,AI workload creep|invisible labor|caregiving penalty|developer well-being|employer accountability|AI productivity|motherhood penalty|role boundary expansion,,published,2026-05-31T21:01:35Z
behavioral,2030-12-09,sunk cost fallacy personal finance decisions,,The Sunk Cost Trap That Keeps Women in the Wrong Financial Products,,Pillar 4: Behavioral Science Insights,Dominique,"Dominique knows her bank is underserving her — and stays anyway. This post names the behavioral mechanism: sunk cost bias plus loss aversion makes switching feel riskier than the status quo actually is. Use research on switching inertia in financial services to show that the 'progress' she fears losing (rewards points, relationship history, direct deposit setup) is almost always recoverable in under 30 days — and that staying costs more than leaving.",,why women stay with bad banks|behavioral economics switching costs|loss aversion financial products|how to switch banks without losing progress,,published,2026-06-08T12:25:44Z
industry,2026-06-29,hidden costs of freelance work,,Flexibility Has a Price Tag — And Women Are the Ones Paying It,,Pillar 6: Building Differently,Priya,"Triggered by: Organizing in the Digital Age (https://arxiv.org/abs/2606.20375v1). Urgency: publish within 10 days of 2026-06-19. Secondary pillar angle: Pillar 5 advocacy. Strong evergreen legs — consider anchoring a recurring series on hidden costs of flexible work (benefits gaps, retirement deficits, income documentation, caregiving-to-freelance pipeline). CTA = community forum discussion + newsletter.",,gig worker protections|freelancer benefits gap|digital organizing|collective bargaining freelancers|dispersed workers|gig economy policy,,queued,
educational,2026-07-06,why was I denied a personal loan,,Why Was I Denied a Personal Loan? The Real Reasons Lenders Won't Tell You,,Pillar 2: Demystifying Finance,Carmen,"Decode the actual reasons behind denials — DTI, income type, credit utilization, thin file — and why the adverse action notice often obscures more than it reveals. [bumped by trending topic]",,personal loan denial reasons|adverse action notice|loan rejection credit score|debt to income ratio denial|lender underwriting criteria,,queued,
,2026-07-13,,,🐯 📸 Photo 1: Babs (Barbie) — AI Is Expanding the Workday. Guess Who Absorbs the,,Pillar 6: Building Differently,,Cat content for: AI Is Expanding the Workday. Guess Who Absorbs the Overflow?,,,,cat_content,
industry,2026-07-20,financial advice for women,,Financial Advice for Women: What Most Articles Get Wrong,,Pillar 1: Financial Education for Non-Traditional Paths,All,Challenge the 'latte factor' and generic budgeting advice that ignores structural barriers. Ivy Edge POV: real financial advice for women starts with understanding how the rules were written and for whom.,,personal finance advice women|women money tips|financial planning for women|gender and personal finance|women financial independence,,queued,
educational,2026-07-27,freelancer financial literacy,,Why Freelancers Are Flying Blind: The Hidden Cost of Working Without a Workplace,,Pillar 1: Financial Education for Non-Traditional Paths,Maya,Triggered by arXiv qualitative study: Organizing in the Digital Age (https://arxiv.org/abs/2606.20375v1). Publish within 10–14 days per editorial brief — scheduled at 10 days out. Frame: loss of collective workplace knowledge as a financial literacy gap. Also touches Pillar 6: Building Differently. Seed for broader content thread on freelancer financial infrastructure gaps. CTA = link to related evergreen content or community resource.,,gig worker rights|digital organizing|collective knowledge gap|freelancer financial infrastructure|non-traditional workers|labor protections,,queued,
